rubrique,regime,department,count
2221,Enregistrement,37,2
1111,,41,10
1111,Inconnu,41,1
1131,,41,5
1173,Inconnu,41,10
1200,,41,3
1220,Inconnu,41,17
1432,Inconnu,41,42
1530,Inconnu,41,24
1611,Inconnu,41,15
1612,,41,1
1630,Inconnu,41,11
2560,Inconnu,41,12
2575,,41,15
2640,Inconnu,41,2
2920,,41,41
2925,,41,52
3260,Autorisation,41,3
1412,,41,8
1434,,41,14
1530,,41,15
2210,Autorisation,41,2
2221,Autorisation,41,1
2662,Autorisation,41,6
2920,Autorisation,41,20
2760,Enregistrement,67,10
2910,,67,160
1435,,67,18
1510,Enregistrement,67,28
1530,Enregistrement,67,5
1532,,67,22
2662,Enregistrement,67,9
2663,Enregistrement,67,14
2925,,67,149
4320,,67,3
2661,Enregistrement,67,16
2661,,67,35
2662,,67,47
2781,Enregistrement,67,6
2910,Enregistrement,67,16
4310,,67,3
2111,,67,1
2251,Enregistrement,67,2
2712,Enregistrement,67,4
1131,,24,10
2410,Autorisation,24,12
2940,Autorisation,24,14
2940,,24,12
2710,,67,43
2710,Enregistrement,67,24
2510,Autorisation,67,106
1432,,67,69
2515,Autorisation,67,52
2515,Enregistrement,67,9
2930,Inconnu,67,3
2517,Autorisation,67,9
2515,,67,33
1434,,67,65
1435,Inconnu,67,24
322,Autorisation,55,10
1185,Inconnu,67,4
1220,,67,25
1418,Inconnu,67,4
1431,Autorisation,67,2
251,,67,14
253,,67,47
254,,67,12
255,,67,22
2560,Autorisation,67,47
2565,Autorisation,67,65
261,,67,7
2940,Autorisation,67,67
3,,67,17
355,,67,6
361,,67,27
6,,67,1
81BIS,,67,10
1180,,67,42
2920,,67,141
33BIS,,67,5
405,,67,30
406,,67,22
68,,67,7
2517,,67,28
2251,Autorisation,51,27
1432,Inconnu,67,18
2930,,67,10
98BIS,,67,7
2251,,51,2
2251,Enregistrement,51,21
1520,,67,18
2521,,67,4
2915,,67,31
2101,Enregistrement,79,9
2517,Enregistrement,67,9
1311,Inconnu,67,15
1412,,67,38
2560,,67,46
2712,Autorisation,67,6
322,Autorisation,67,37
2102,,79,3
2565,,67,16
1720,Inconnu,67,6
211,,67,42
2661,Autorisation,67,30
2662,Autorisation,67,31
2920,Autorisation,67,71
4718,,67,7
4802,,67,15
1185,,67,14
1416,,67,5
1432,Autorisation,67,23
1715,Autorisation,67,12
1720,,67,19
211BIS,,67,1
253,Autorisation,67,16
2561,,67,27
2567,Autorisation,67,10
258,,67,3
272,,67,14
1418,,67,17
153BIS,,67,16
1BIS,,67,5
2575,,67,42
281,,67,1
282,Autorisation,67,2
284,,67,3
285,,67,3
288,,67,7
2921,,67,59
1520,Autorisation,67,5
2910,Autorisation,67,46
4734,Enregistrement,67,2
1530,,67,62
167,Autorisation,67,54
2260,Autorisation,67,27
329,Autorisation,67,8
1414,,67,24
2940,,67,45
120,,67,8
183BIS,Autorisation,67,3
217,,67,5
119,,67,3
1131,,67,36
1158,,67,7
2660,,67,1
3260,Autorisation,67,9
4725,,67,9
1131,Autorisation,67,9
1150,Autorisation,67,5
1158,Autorisation,67,7
1175,,67,6
137,Autorisation,67,1
1433,,67,12
2410,,67,13
2660,Autorisation,67,19
2921,Autorisation,67,17
3410,Autorisation,67,9
46,,67,1
1414,Autorisation,67,5
1111,,67,13
1611,,67,8
2564,,67,19
1510,Inconnu,67,4
2523,Autorisation,67,7
2661,Inconnu,67,1
2220,Autorisation,67,27
2230,Autorisation,67,4
2921,Enregistrement,67,13
3642,Autorisation,67,11
4735,Autorisation,67,2
1111,Autorisation,67,8
1150,,67,7
1155,,67,8
1171,Autorisation,67,4
1172,Autorisation,67,2
1172,,67,12
1173,Autorisation,67,1
1173,,67,8
1175,Autorisation,67,9
1200,,67,12
1212,,67,4
1212,Autorisation,67,5
1412,Inconnu,67,6
1420,Autorisation,67,2
1433,Autorisation,67,13
1434,Autorisation,67,25
1510,Autorisation,67,52
1510,,67,25
1523,Autorisation,67,2
1610,Autorisation,67,3
1611,Autorisation,67,5
1612,Autorisation,67,1
1630,Autorisation,67,3
1630,,67,9
2750,Autorisation,67,3
2915,Autorisation,67,13
384,,67,1
48BIS,,67,1
48TER,,67,1
1411,Inconnu,67,2
211,Inconnu,67,2
2566,Autorisation,67,4
2910,Inconnu,67,18
2920,Inconnu,67,6
2520,Autorisation,67,3
282,,67,4
2930,Autorisation,67,9
81,,67,10
2760,Enregistrement,51,13
2350,Autorisation,67,1
2351,Autorisation,67,1
2355,,67,1
2931,Autorisation,67,4
4734,,67,12
2570,,67,2
2552,Autorisation,67,2
2562,,67,1
4440,Inconnu,67,1
2560,Enregistrement,67,8
2663,,67,15
1412,Autorisation,67,2
153BIS,Autorisation,67,6
2160,Autorisation,67,22
2260,,67,34
3110,Autorisation,67,6
376BIS,Autorisation,67,5
89,,67,6
1450,Autorisation,67,5
1450,,67,11
2562,Autorisation,67,3
2564,Autorisation,67,5
1136,,67,6
2253,Autorisation,67,9
2275,Autorisation,67,6
4735,,67,5
2630,,67,2
2663,Autorisation,67,23
4510,Inconnu,67,2
4719,Inconnu,67,3
1155,Autorisation,67,1
133,,67,2
1331,Inconnu,67,10
183,,67,3
183TER,,67,2
2171,,67,12
2714,,67,11
357SEP,Autorisation,67,1
4001,Autorisation,67,2
4110,Autorisation,67,4
4120,,67,6
4130,,67,6
4140,,67,3
4150,,67,1
4510,Autorisation,67,4
4511,Autorisation,67,1
4331,,67,5
4511,Inconnu,67,3
4725,Inconnu,67,1
4802,Inconnu,67,2
2260,Inconnu,67,1
1530,Autorisation,67,19
2445,Autorisation,67,5
2450,,67,3
2640,,67,1
2160,,67,7
2240,,67,1
